pokedex_number,name,japanese_name,type1,type2,generation,is_legendary,height_m,weight_kg,speed,hp,attack,sp_attack,defense,sp_defense,egg_steps,happiness,base_total,capture_rate,experience,perc_male,against_bug,against_dragon,against_electric,against_fire,against_ice,against_poison,against_psychic,against_water,abilities
129,Magikarp,Koikingコイキング,water,,1,no,0.9,10,80,20,10,15,55,20,1280,70,200,255,1250000,50,1,1,2,0.5,0.5,1,1,0.5,"['Swift Swim', 'Rattled']"
130,Gyarados,Gyaradosギャラドス,water,flying,1,no,6.5,235,81,95,155,70,109,130,1280,70,640,45,1250000,50,0.5,1,4,0.5,1,1,1,0.5,"['Intimidate', 'Moxie']"
131,Lapras,Laplaceラプラス,water,ice,1,no,2.5,220,60,130,85,85,80,95,10240,70,535,45,1250000,50,1,1,2,1,0.25,1,1,0.5,"['Water Absorb', 'Shell Armor', 'Hydration']"
132,Ditto,Metamonメタモン,normal,,1,no,0.3,4,48,48,48,48,48,48,5120,70,288,35,1000000,,1,1,1,1,1,1,1,1,"['Limber', 'Imposter']"
133,Eevee,Eievuiイーブイ,normal,,1,no,0.3,6.5,55,55,55,45,50,65,8960,70,325,45,1000000,88.1,1,1,1,1,1,1,1,1,"['Run Away', 'Adaptability', 'Anticipation']"
134,Vaporeon,Showersシャワーズ,water,,1,no,1,29,65,130,65,110,60,95,8960,70,525,45,1000000,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Water Absorb', 'Hydration']"
135,Jolteon,Thundersサンダース,electric,,1,no,0.8,24.5,130,65,65,110,60,95,8960,70,525,45,1000000,88.1,1,1,0.5,1,1,1,1,1,"['Volt Absorb', 'Quick Feet']"
136,Flareon,Boosterブースター,fire,,1,no,0.9,25,65,65,130,95,60,110,8960,70,525,45,1000000,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Flash Fire', 'Guts']"
137,Porygon,Porygonポリゴン,normal,,1,no,0.8,36.5,40,65,60,85,70,75,5120,70,395,45,1000000,,1,1,1,1,1,1,1,1,"['Trace', 'Download', 'Analytic']"
138,Omanyte,Omniteオムナイト,rock,water,1,no,0.4,7.5,35,35,40,90,100,55,7680,70,355,45,1000000,88.1,1,1,2,0.25,0.5,0.5,1,1,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
139,Omastar,Omstarオムスター,rock,water,1,no,1,35,55,70,60,115,125,70,7680,70,495,45,1000000,88.1,1,1,2,0.25,0.5,0.5,1,1,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
140,Kabuto,Kabutoカブト,rock,water,1,no,0.5,11.5,55,30,80,55,90,45,7680,70,355,45,1000000,88.1,1,1,2,0.25,0.5,0.5,1,1,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
141,Kabutops,Kabutopsカブトプス,rock,water,1,no,1.3,40.5,80,60,115,65,105,70,7680,70,495,45,1000000,88.1,1,1,2,0.25,0.5,0.5,1,1,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
142,Aerodactyl,Pteraプテラ,rock,flying,1,no,1.8,59,150,80,135,70,85,95,8960,70,615,45,1250000,88.1,0.5,1,2,0.5,2,0.5,1,2,"['Rock Head', 'Pressure', 'Unnerve']"
143,Snorlax,Kabigonカビゴン,normal,,1,no,2.1,460,30,160,110,65,65,110,10240,70,540,25,1250000,88.1,1,1,1,1,1,1,1,1,"['Immunity', 'Thick Fat', 'Gluttony']"
144,Articuno,Freezerフリーザー,ice,flying,1,yes,1.7,55.4,85,90,85,95,100,125,20480,35,580,3,1250000,,0.5,1,2,2,1,1,1,1,"['Pressure', 'Snow Cloak']"
145,Zapdos,Thunderサンダー,electric,flying,1,yes,1.6,52.6,100,90,90,125,85,90,20480,35,580,3,1250000,,0.5,1,1,1,2,1,1,1,"['Pressure', 'Static']"
146,Moltres,Fireファイヤー,fire,flying,1,yes,2,60,90,90,100,125,90,85,20480,35,580,3,1250000,,0.25,1,2,0.5,1,1,1,2,"['Pressure', 'Flame Body']"
147,Dratini,Miniryuミニリュウ,dragon,,1,no,1.8,3.3,50,41,64,50,45,50,10240,35,300,45,1250000,50,1,2,0.5,0.5,2,1,1,0.5,"['Shed Skin', 'Marvel Scale']"
148,Dragonair,Hakuryuハクリュー,dragon,,1,no,4,16.5,70,61,84,70,65,70,10240,35,420,45,1250000,50,1,2,0.5,0.5,2,1,1,0.5,"['Shed Skin', 'Marvel Scale']"
149,Dragonite,Kairyuカイリュー,dragon,flying,1,no,2.2,210,80,91,134,100,95,100,10240,35,600,45,1250000,50,0.5,2,1,0.5,4,1,1,0.5,"['Inner Focus', 'Multiscale']"
150,Mewtwo,Mewtwoミュウツー,psychic,,1,yes,2,122,140,106,150,194,70,120,30720,0,780,3,1250000,,2,1,1,1,1,1,0.5,1,"['Pressure', 'Unnerve']"
151,Mew,Mewミュウ,psychic,,1,yes,0.4,4,100,100,100,100,100,100,30720,100,600,45,1059860,,2,1,1,1,1,1,0.5,1,['Synchronize']
152,Chikorita,Chicoritaチコリータ,grass,,2,no,0.9,6.4,45,45,49,49,65,65,5120,70,318,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Leaf Guard']"
153,Bayleef,Bayleafベイリーフ,grass,,2,no,1.2,15.8,60,60,62,63,80,80,5120,70,405,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Leaf Guard']"
154,Meganium,Meganiumメガニウム,grass,,2,no,1.8,100.5,80,80,82,83,100,100,5120,70,525,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Leaf Guard']"
155,Cyndaquil,Hinoarashiヒノアラシ,fire,,2,no,0.5,7.9,65,39,52,60,43,50,5120,70,309,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Flash Fire']"
156,Quilava,Magmarashiマグマラシ,fire,,2,no,0.9,19,80,58,64,80,58,65,5120,70,405,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Flash Fire']"
157,Typhlosion,Bakphoonバクフーン,fire,,2,no,1.7,79.5,100,78,84,109,78,85,5120,70,534,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Flash Fire']"
158,Totodile,Waninokoワニノコ,water,,2,no,0.6,9.5,43,50,65,44,64,48,5120,70,314,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Sheer Force']"
159,Croconaw,Alligatesアリゲイツ,water,,2,no,1.1,25,58,65,80,59,80,63,5120,70,405,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Sheer Force']"
160,Feraligatr,Ordileオーダイル,water,,2,no,2.3,88.8,78,85,105,79,100,83,5120,70,530,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Sheer Force']"
161,Sentret,Otachiオタチ,normal,,2,no,0.8,6,20,35,46,35,34,45,3840,70,215,255,1000000,50,1,1,1,1,1,1,1,1,"['Run Away', 'Keen Eye', 'Frisk']"
162,Furret,Ootachiオオタチ,normal,,2,no,1.8,32.5,90,85,76,45,64,55,3840,70,415,90,1000000,50,1,1,1,1,1,1,1,1,"['Run Away', 'Keen Eye', 'Frisk']"
163,Hoothoot,Hohoホーホー,normal,flying,2,no,0.7,21.2,50,60,30,36,30,56,3840,70,262,255,1000000,50,0.5,1,2,1,2,1,1,1,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
164,Noctowl,Yorunozukuヨルノズク,normal,flying,2,no,1.6,40.8,70,100,50,86,50,96,3840,70,452,90,1000000,50,0.5,1,2,1,2,1,1,1,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
165,Ledyba,Redibaレディバ,bug,flying,2,no,1,10.8,55,40,20,40,30,80,3840,70,265,255,800000,50,0.5,1,2,2,2,1,1,1,"['Swarm', 'Early Bird', 'Rattled']"
166,Ledian,Redianレディアン,bug,flying,2,no,1.4,35.6,85,55,35,55,50,110,3840,70,390,90,800000,50,0.5,1,2,2,2,1,1,1,"['Swarm', 'Early Bird', 'Iron Fist']"
167,Spinarak,Itomaruイトマル,bug,poison,2,no,0.5,8.5,30,40,60,40,40,40,3840,70,250,255,800000,50,0.5,1,1,2,1,0.5,2,1,"['Swarm', 'Insomnia', 'Sniper']"
168,Ariados,Ariadosアリアドス,bug,poison,2,no,1.1,33.5,40,70,90,60,70,70,3840,70,400,90,800000,50,0.5,1,1,2,1,0.5,2,1,"['Swarm', 'Insomnia', 'Sniper']"
169,Crobat,Crobatクロバット,poison,flying,2,no,1.8,75,130,85,90,70,80,80,3840,70,535,90,1000000,50,0.25,1,2,1,2,0.5,2,1,"['Inner Focus', 'Infiltrator']"
170,Chinchou,Chonchieチョンチー,water,electric,2,no,0.5,12,67,75,38,56,38,56,5120,70,330,190,1250000,50,1,1,1,0.5,0.5,1,1,0.5,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
171,Lanturn,Lanternランターン,water,electric,2,no,1.2,22.5,67,125,58,76,58,76,5120,70,460,75,1250000,50,1,1,1,0.5,0.5,1,1,0.5,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
172,Pichu,Pichuピチュー,electric,,2,no,0.3,2,60,20,40,35,15,35,2560,70,205,190,1000000,50,1,1,0.5,1,1,1,1,1,"['Static', 'Lightningrod']"
173,Cleffa,Pyピィ,fairy,,2,no,0.3,3,15,50,25,45,28,55,2560,140,218,150,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
174,Igglybuff,Pupurinププリン,normal,fairy,2,no,0.3,1,15,90,30,40,15,20,2560,70,210,170,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Competitive', 'Friend Guard']"
175,Togepi,Togepyトゲピー,fairy,,2,no,0.3,1.5,20,35,20,40,65,65,2560,70,245,190,800000,88.1,0.5,0,1,1,1,2,1,1,"['Hustle', 'Serene Grace', 'Super Luck']"
176,Togetic,Togechickトゲチック,fairy,flying,2,no,0.6,3.2,40,55,40,80,85,105,2560,70,405,75,800000,88.1,0.25,0,2,1,2,2,1,1,"['Hustle', 'Serene Grace', 'Super Luck']"
177,Natu,Natyネイティ,psychic,flying,2,no,0.2,2,70,40,50,70,45,45,5120,70,320,190,1000000,50,1,1,2,1,2,1,0.5,1,"['Synchronize', 'Early Bird', 'Magic Bounce']"
178,Xatu,Natioネイティオ,psychic,flying,2,no,1.5,15,95,65,75,95,70,70,5120,70,470,75,1000000,50,1,1,2,1,2,1,0.5,1,"['Synchronize', 'Early Bird', 'Magic Bounce']"
179,Mareep,Merriepメリープ,electric,,2,no,0.6,7.8,35,55,40,65,40,45,5120,70,280,235,1059860,50,1,1,0.5,1,1,1,1,1,"['Static', 'Plus']"
180,Flaaffy,Mokokoモココ,electric,,2,no,0.8,13.3,45,70,55,80,55,60,5120,70,365,120,1059860,50,1,1,0.5,1,1,1,1,1,"['Static', 'Plus']"
181,Ampharos,Denryuデンリュウ,electric,,2,no,1.4,61.5,45,90,95,165,105,110,5120,70,610,45,1059860,50,1,1,0.5,1,1,1,1,1,"['Static', 'Plus']"
182,Bellossom,Kireihanaキレイハナ,grass,,2,no,0.4,5.8,50,75,80,90,95,100,5120,70,490,45,1059860,50,2,1,0.5,2,2,2,1,0.5,"['Chlorophyll', 'Healer']"
183,Marill,Marilマリル,water,fairy,2,no,0.4,8.5,40,70,20,20,50,50,2560,70,250,190,800000,50,0.5,0,2,0.5,0.5,2,1,0.5,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
184,Azumarill,Marilliマリルリ,water,fairy,2,no,0.8,28.5,50,100,50,60,80,80,2560,70,420,75,800000,50,0.5,0,2,0.5,0.5,2,1,0.5,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
185,Sudowoodo,Usokkieウソッキー,rock,,2,no,1.2,38,30,70,100,30,115,65,5120,70,410,65,1000000,50,1,1,1,0.5,1,0.5,1,2,"['Sturdy', 'Rock Head', 'Rattled']"
186,Politoed,Nyorotonoニョロトノ,water,,2,no,1.1,33.9,70,90,75,90,75,100,5120,70,500,45,1059860,50,1,1,2,0.5,0.5,1,1,0.5,"['Water Absorb', 'Damp', 'Drizzle']"
187,Hoppip,Haneccoハネッコ,grass,flying,2,no,0.4,0.5,50,35,35,35,40,55,5120,70,250,255,1059860,50,1,1,1,2,4,2,1,0.5,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
188,Skiploom,Popoccoポポッコ,grass,flying,2,no,0.6,1,80,55,45,45,50,65,5120,70,340,120,1059860,50,1,1,1,2,4,2,1,0.5,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
189,Jumpluff,Wataccoワタッコ,grass,flying,2,no,0.8,3,110,75,55,55,70,95,5120,70,460,45,1059860,50,1,1,1,2,4,2,1,0.5,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
190,Aipom,Eipamエイパム,normal,,2,no,0.8,11.5,85,55,70,40,55,55,5120,70,360,45,800000,50,1,1,1,1,1,1,1,1,"['Run Away', 'Pickup', 'Skill Link']"
191,Sunkern,Himanutsヒマナッツ,grass,,2,no,0.3,1.8,30,30,30,30,30,30,5120,70,180,235,1059860,50,2,1,0.5,2,2,2,1,0.5,"['Chlorophyll', 'Solar Power', 'Early Bird']"
192,Sunflora,Kimawariキマワリ,grass,,2,no,0.8,8.5,30,75,75,105,55,85,5120,70,425,120,1059860,50,2,1,0.5,2,2,2,1,0.5,"['Chlorophyll', 'Solar Power', 'Early Bird']"
193,Yanma,Yanyanmaヤンヤンマ,bug,flying,2,no,1.2,38,95,65,65,75,45,45,5120,70,390,75,1000000,50,0.5,1,2,2,2,1,1,1,"['Speed Boost', 'Compoundeyes', 'Frisk']"
194,Wooper,Upahウパー,water,ground,2,no,0.4,8.5,15,55,45,25,45,25,5120,70,210,255,1000000,50,1,1,0,0.5,1,0.5,1,1,"['Damp', 'Water Absorb', 'Unaware']"
195,Quagsire,Nuohヌオー,water,ground,2,no,1.4,75,35,95,85,65,85,65,5120,70,430,90,1000000,50,1,1,0,0.5,1,0.5,1,1,"['Damp', 'Water Absorb', 'Unaware']"
196,Espeon,Eifieエーフィ,psychic,,2,no,0.9,26.5,110,65,65,130,60,95,8960,70,525,45,1000000,88.1,2,1,1,1,1,1,0.5,1,"['Synchronize', 'Magic Bounce']"
197,Umbreon,Blackyブラッキー,dark,,2,no,1,27,65,95,65,60,110,130,8960,35,525,45,1000000,88.1,2,1,1,1,1,1,0,1,"['Synchronize', 'Inner Focus']"
198,Murkrow,Yamikarasuヤミカラス,dark,flying,2,no,0.5,2.1,91,60,85,85,42,42,5120,35,405,30,1059860,50,1,1,2,1,2,1,0,1,"['Insomnia', 'Super Luck', 'Prankster']"
199,Slowking,Yadokingヤドキング,water,psychic,2,no,2,79.5,30,95,75,100,80,110,5120,70,490,70,1000000,50,2,1,2,0.5,0.5,1,0.5,0.5,"['Oblivious', 'Own Tempo', 'Regenerator']"
200,Misdreavus,Mumaムウマ,ghost,,2,no,0.7,1,85,60,60,85,60,85,6400,35,435,45,800000,50,0.5,1,1,1,1,0.5,1,1,['Levitate']
201,Unown,Unknownアンノーン,psychic,,2,no,0.5,5,48,48,72,72,48,48,10240,70,336,225,1000000,,2,1,1,1,1,1,0.5,1,['Levitate']
202,Wobbuffet,Sonansソーナンス,psychic,,2,no,1.3,28.5,33,190,33,33,58,58,5120,70,405,45,1000000,50,2,1,1,1,1,1,0.5,1,"['Shadow Tag', 'Telepathy']"
203,Girafarig,Kirinrikiキリンリキ,normal,psychic,2,no,1.5,41.5,85,70,80,90,65,65,5120,70,455,60,1000000,50,2,1,1,1,1,1,0.5,1,"['Inner Focus', 'Early Bird', 'Sap Sipper']"
204,Pineco,Kunugidamaクヌギダマ,bug,,2,no,0.6,7.2,15,50,65,35,90,35,5120,70,290,190,1000000,50,1,1,1,2,1,1,1,1,"['Sturdy', 'Overcoat']"
205,Forretress,Foretosフォレトス,bug,steel,2,no,1.2,125.8,40,75,90,60,140,60,5120,70,465,75,1000000,50,0.5,0.5,1,4,0.5,0,0.5,1,"['Sturdy', 'Overcoat']"
206,Dunsparce,Nokocchiノコッチ,normal,,2,no,1.5,14,45,100,70,65,70,65,5120,70,415,190,1000000,50,1,1,1,1,1,1,1,1,"['Serene Grace', 'Run Away', 'Rattled']"
207,Gligar,Gligerグライガー,ground,flying,2,no,1.1,64.8,85,65,75,35,105,65,5120,70,430,60,1059860,50,0.5,1,0,1,4,0.5,1,2,"['Hyper Cutter', 'Sand Veil', 'Immunity']"
208,Steelix,Haganeilハガネール,steel,ground,2,no,9.2,400,30,75,125,55,230,95,6400,70,610,25,1000000,50,0.5,0.5,0,2,1,0,0.5,2,"['Rock Head', 'Sturdy', 'Sheer Force']"
209,Snubbull,Buluブルー,fairy,,2,no,0.6,7.8,30,60,80,40,50,40,5120,70,300,190,800000,24.6,0.5,0,1,1,1,2,1,1,"['Intimidate', 'Run Away', 'Rattled']"
210,Granbull,Granbuluグランブル,fairy,,2,no,1.4,48.7,45,90,120,60,75,60,5120,70,450,75,800000,24.6,0.5,0,1,1,1,2,1,1,"['Intimidate', 'Quick Feet', 'Rattled']"
211,Qwilfish,Harysenハリーセン,water,poison,2,no,0.5,3.9,85,65,95,55,85,55,5120,70,440,45,1000000,50,0.5,1,2,0.5,0.5,0.5,2,0.5,"['Poison Point', 'Swift Swim', 'Intimidate']"
212,Scizor,Hassamハッサム,bug,steel,2,no,1.8,118,75,70,150,65,140,100,6400,70,600,25,1000000,50,0.5,0.5,1,4,0.5,0,0.5,1,"['Swarm', 'Technician', 'Light Metal']"
213,Shuckle,Tsubotsuboツボツボ,bug,rock,2,no,0.6,20.5,5,20,10,10,230,230,5120,70,505,190,1059860,50,1,1,1,1,1,0.5,1,2,"['Sturdy', 'Gluttony', 'Contrary']"
214,Heracross,Heracrosヘラクロス,bug,fighting,2,no,1.5,54,75,80,185,40,115,105,6400,70,600,45,1250000,50,0.5,1,1,2,1,1,2,1,"['Swarm', 'Guts', 'Moxie']"
215,Sneasel,Nyulaニューラ,dark,ice,2,no,0.9,28,115,55,95,35,55,75,5120,35,430,60,1059860,50,2,1,1,2,0.5,1,0,1,"['Inner Focus', 'Keen Eye', 'Pickpocket']"
216,Teddiursa,Himegumaヒメグマ,normal,,2,no,0.6,8.8,40,60,80,50,50,50,5120,70,330,120,1000000,50,1,1,1,1,1,1,1,1,"['Pickup', 'Quick Feet', 'Honey Gather']"
217,Ursaring,Ringumaリングマ,normal,,2,no,1.8,125.8,55,90,130,75,75,75,5120,70,500,60,1000000,50,1,1,1,1,1,1,1,1,"['Guts', 'Quick Feet', 'Unnerve']"
218,Slugma,Magmagマグマッグ,fire,,2,no,0.7,35,20,40,40,70,40,40,5120,70,250,190,1000000,50,0.5,1,1,0.5,0.5,1,1,2,"['Magma Armor', 'Flame Body', 'Weak Armor']"
219,Magcargo,Magcargotマグカルゴ,fire,rock,2,no,0.8,55,30,60,50,90,120,80,5120,70,430,75,1000000,50,0.5,1,1,0.25,0.5,0.5,1,4,"['Magma Armor', 'Flame Body', 'Weak Armor']"
220,Swinub,Urimooウリムー,ice,ground,2,no,0.4,6.5,50,50,50,30,40,30,5120,70,250,225,1250000,50,1,1,0,2,1,0.5,1,2,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
221,Piloswine,Inomooイノムー,ice,ground,2,no,1.1,55.8,50,100,100,60,80,60,5120,70,450,75,1250000,50,1,1,0,2,1,0.5,1,2,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
222,Corsola,Sunnygoサニーゴ,water,rock,2,no,0.6,5,35,65,55,65,95,95,5120,70,410,60,800000,24.6,1,1,2,0.25,0.5,0.5,1,1,"['Hustle', 'Natural Cure', 'Regenerator']"
223,Remoraid,Teppouoテッポウオ,water,,2,no,0.6,12,65,35,65,65,35,35,5120,70,300,190,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Hustle', 'Sniper', 'Moody']"
224,Octillery,Okutankオクタン,water,,2,no,0.9,28.5,45,75,105,105,75,75,5120,70,480,75,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Suction Cups', 'Sniper', 'Moody']"
225,Delibird,Delibirdデリバード,ice,flying,2,no,0.9,16,75,45,55,65,45,45,5120,70,330,45,800000,50,0.5,1,2,2,1,1,1,1,"['Vital Spirit', 'Hustle', 'Insomnia']"
226,Mantine,Mantainマンタイン,water,flying,2,no,2.1,220,70,85,40,80,70,140,6400,70,485,25,1250000,50,0.5,1,4,0.5,1,1,1,0.5,"['Swift Swim', 'Water Absorb', 'Water Veil']"
227,Skarmory,Airmdエアームド,steel,flying,2,no,1.7,50.5,70,65,80,40,140,70,6400,70,465,25,1250000,50,0.25,0.5,2,2,1,0,0.5,1,"['Keen Eye', 'Sturdy', 'Weak Armor']"
228,Houndour,Delvilデルビル,dark,fire,2,no,0.6,10.8,65,45,60,80,30,50,5120,35,330,120,1250000,50,1,1,1,0.5,0.5,1,0,2,"['Early Bird', 'Flash Fire', 'Unnerve']"
229,Houndoom,Hellgarヘルガー,dark,fire,2,no,1.4,35,115,75,90,140,90,90,5120,35,600,45,1250000,50,1,1,1,0.5,0.5,1,0,2,"['Early Bird', 'Flash Fire', 'Unnerve']"
230,Kingdra,Kingdraキングドラ,water,dragon,2,no,1.8,152,85,75,95,95,95,95,5120,70,540,45,1000000,50,1,2,1,0.25,1,1,1,0.25,"['Swift Swim', 'Sniper', 'Damp']"
231,Phanpy,Gomazouゴマゾウ,ground,,2,no,0.5,33.5,40,90,60,40,60,40,5120,70,330,120,1000000,50,1,1,0,1,2,0.5,1,2,"['Pickup', 'Sand Veil']"
232,Donphan,Donfanドンファン,ground,,2,no,1.1,120,50,90,120,60,120,60,5120,70,500,60,1000000,50,1,1,0,1,2,0.5,1,2,"['Sturdy', 'Sand Veil']"
233,Porygon2,Porygon2ポリゴン２,normal,,2,no,0.6,32.5,60,85,80,105,90,95,5120,70,515,45,1000000,,1,1,1,1,1,1,1,1,"['Trace', 'Download', 'Analytic']"
234,Stantler,Odoshishiオドシシ,normal,,2,no,1.4,71.2,85,73,95,85,62,65,5120,70,465,45,1250000,50,1,1,1,1,1,1,1,1,"['Intimidate', 'Frisk', 'Sap Sipper']"
235,Smeargle,Dobleドーブル,normal,,2,no,1.2,58,75,55,20,20,35,45,5120,70,250,45,800000,50,1,1,1,1,1,1,1,1,"['Own Tempo', 'Technician', 'Moody']"
236,Tyrogue,Balkieバルキー,fighting,,2,no,0.7,21,35,35,35,35,35,35,6400,70,210,75,1000000,100,0.5,1,1,1,1,1,2,1,"['Guts', 'Steadfast', 'Vital Spirit']"
237,Hitmontop,Kapoererカポエラー,fighting,,2,no,1.4,48,70,50,95,35,95,110,6400,70,455,45,1000000,100,0.5,1,1,1,1,1,2,1,"['Intimidate', 'Technician', 'Steadfast']"
238,Smoochum,Muchulムチュール,ice,psychic,2,no,0.4,6,65,45,30,85,15,65,6400,70,305,45,1000000,0,2,1,1,2,0.5,1,0.5,1,"['Oblivious', 'Forewarn', 'Hydration']"
239,Elekid,Elekidエレキッド,electric,,2,no,0.6,23.5,95,45,63,65,37,55,6400,70,360,45,1000000,75.4,1,1,0.5,1,1,1,1,1,"['Static', 'Vital Spirit']"
240,Magby,Bubyブビィ,fire,,2,no,0.7,21.4,83,45,75,70,37,55,6400,70,365,45,1000000,75.4,0.5,1,1,0.5,0.5,1,1,2,"['Flame Body', 'Vital Spirit']"
241,Miltank,Miltankミルタンク,normal,,2,no,1.2,75.5,100,95,80,40,105,70,5120,70,490,45,1250000,0,1,1,1,1,1,1,1,1,"['Thick Fat', 'Scrappy', 'Sap Sipper']"
242,Blissey,Happinasハピナス,normal,,2,no,1.5,46.8,55,255,10,75,10,135,10240,140,540,30,800000,0,1,1,1,1,1,1,1,1,"['Natural Cure', 'Serene Grace', 'Healer']"
243,Raikou,Raikouライコウ,electric,,2,yes,1.9,178,115,90,85,115,75,100,20480,35,580,3,1250000,,1,1,0.5,1,1,1,1,1,"['Pressure', 'Inner Focus']"
244,Entei,Enteiエンテイ,fire,,2,yes,2.1,198,100,115,115,90,85,75,20480,35,580,3,1250000,,0.5,1,1,0.5,0.5,1,1,2,"['Pressure', 'Inner Focus']"
245,Suicune,Suicuneスイクン,water,,2,yes,2,187,85,100,75,90,115,115,20480,35,580,3,1250000,,1,1,2,0.5,0.5,1,1,0.5,"['Pressure', 'Inner Focus']"
246,Larvitar,Yogirasヨーギラス,rock,ground,2,no,0.6,72,41,50,64,45,50,50,10240,35,300,45,1250000,50,1,1,0,0.5,2,0.25,1,4,"['Guts', 'Sand Veil']"
247,Pupitar,Sanagirasサナギラス,rock,ground,2,no,1.2,152,51,70,84,65,70,70,10240,35,410,45,1250000,50,1,1,0,0.5,2,0.25,1,4,['Shed Skin']
248,Tyranitar,Bangirasバンギラス,rock,dark,2,no,2,202,71,100,164,95,150,120,10240,35,700,45,1250000,50,2,1,1,0.5,1,0.5,0,2,"['Sand Stream', 'Unnerve']"
249,Lugia,Lugiaルギア,psychic,flying,2,yes,5.2,216,110,106,90,90,130,154,30720,0,680,3,1250000,,1,1,2,1,2,1,0.5,1,"['Pressure', 'Multiscale']"
250,Ho-Oh,Hououホウオウ,fire,flying,2,yes,3.8,199,90,106,130,110,90,154,30720,0,680,3,1250000,,0.25,1,2,0.5,1,1,1,2,"['Pressure', 'Regenerator']"
251,Celebi,Celebiセレビィ,psychic,grass,2,yes,0.6,5,100,100,100,100,100,100,30720,100,600,45,1059860,,4,1,0.5,2,2,2,0.5,0.5,['Natural Cure']
252,Treecko,Kimoriキモリ,grass,,3,no,0.5,5,70,40,45,65,35,55,5120,70,310,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Unburden']"
253,Grovyle,Juptileジュプトル,grass,,3,no,0.9,21.6,95,50,65,85,45,65,5120,70,405,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Unburden']"
254,Sceptile,Jukainジュカイン,grass,,3,no,1.7,52.2,145,70,110,145,75,85,5120,70,630,45,1059860,88.1,2,1,0.5,2,2,2,1,0.5,"['Overgrow', 'Unburden']"
255,Torchic,Achamoアチャモ,fire,,3,no,0.4,2.5,45,45,60,70,40,50,5120,70,310,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Speed Boost']"
256,Combusken,Wakasyamoワカシャモ,fire,fighting,3,no,0.9,19.5,55,60,85,85,60,60,5120,70,405,45,1059860,88.1,0.25,1,1,0.5,0.5,1,2,2,"['Blaze', 'Speed Boost']"
257,Blaziken,Bursyamoバシャーモ,fire,fighting,3,no,1.9,52,100,80,160,130,80,80,5120,70,630,45,1059860,88.1,0.25,1,1,0.5,0.5,1,2,2,"['Blaze', 'Speed Boost']"
258,Mudkip,Mizugorouミズゴロウ,water,,3,no,0.4,7.6,40,50,70,50,50,50,5120,70,310,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Damp']"
259,Marshtomp,Numacrawヌマクロー,water,ground,3,no,0.7,28,50,70,85,60,70,70,5120,70,405,45,1059860,88.1,1,1,0,0.5,1,0.5,1,1,"['Torrent', 'Damp']"
260,Swampert,Laglargeラグラージ,water,ground,3,no,1.5,81.9,70,100,150,95,110,110,5120,70,635,45,1059860,88.1,1,1,0,0.5,1,0.5,1,1,"['Torrent', 'Damp']"
261,Poochyena,Pochienaポチエナ,dark,,3,no,0.5,13.6,35,35,55,30,35,30,3840,70,220,255,1000000,50,2,1,1,1,1,1,0,1,"['Run Away', 'Quick Feet', 'Rattled']"
262,Mightyena,Graenaグラエナ,dark,,3,no,1,37,70,70,90,60,70,60,3840,70,420,127,1000000,50,2,1,1,1,1,1,0,1,"['Intimidate', 'Quick Feet', 'Moxie']"
