name,abilities,is_legendary,type
Mantyke,"['Swift Swim', 'Water Absorb', 'Water Veil']",no,water
Snover,"['Snow Warning', 'Soundproof']",no,grass
Abomasnow,"['Snow Warning', 'Soundproof']",no,grass
Weavile,"['Pressure', 'Pickpocket']",no,dark
Magnezone,"['Magnet Pull', 'Sturdy', 'Analytic']",no,electric
Lickilicky,"['Own Tempo', 'Oblivious', 'Cloud Nine']",no,normal
Rhyperior,"['Lightningrod', 'Solid Rock', 'Reckless']",no,ground
Tangrowth,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",no,grass
Electivire,"['Motor Drive', 'Vital Spirit']",no,electric
Magmortar,"['Flame Body', 'Vital Spirit']",no,fire
Togekiss,"['Hustle', 'Serene Grace', 'Super Luck']",no,fairy
Yanmega,"['Speed Boost', 'Tinted Lens', 'Frisk']",no,bug
Leafeon,"['Leaf Guard', 'Chlorophyll']",no,grass
Glaceon,"['Snow Cloak', 'Ice Body']",no,ice
Gliscor,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",no,ground
Mamoswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",no,ice
Porygon-Z,"['Adaptability', 'Download', 'Analytic']",no,normal
Gallade,"['Steadfast', 'Justified']",no,psychic
Probopass,"['Sturdy', 'Magnet Pull', 'Sand Force']",no,rock
Dusknoir,"['Pressure', 'Frisk']",no,ghost
Froslass,"['Snow Cloak', 'Cursed Body']",no,ice
Rotom,['Levitate'],no,electric
Uxie,['Levitate'],yes,psychic
Mesprit,['Levitate'],yes,psychic
Azelf,['Levitate'],yes,psychic
Dialga,"['Pressure', 'Telepathy']",yes,steel
Palkia,"['Pressure', 'Telepathy']",yes,water
Heatran,"['Flash Fire', 'Flame Body']",yes,fire
Regigigas,['Slow Start'],yes,normal
Giratina,"['Pressure', 'Telepathy', 'Levitate']",yes,ghost
Cresselia,['Levitate'],yes,psychic
Phione,['Hydration'],no,water
Manaphy,['Hydration'],yes,water
Darkrai,['Bad Dreams'],yes,dark
Shaymin,"['Natural Cure', 'Serene Grace']",yes,grass
Arceus,['Multitype'],yes,normal
Victini,['Victory Star'],yes,psychic
Snivy,"['Overgrow', 'Contrary']",no,grass
Servine,"['Overgrow', 'Contrary']",no,grass
Serperior,"['Overgrow', 'Contrary']",no,grass
Tepig,"['Blaze', 'Thick Fat']",no,fire
Pignite,"['Blaze', 'Thick Fat']",no,fire
Emboar,"['Blaze', 'Reckless']",no,fire
Oshawott,"['Torrent', 'Shell Armor']",no,water
Dewott,"['Torrent', 'Shell Armor']",no,water
Samurott,"['Torrent', 'Shell Armor']",no,water
Patrat,"['Run Away', 'Keen Eye', 'Analytic']",no,normal
Watchog,"['Illuminate', 'Keen Eye', 'Analytic']",no,normal
Lillipup,"['Vital Spirit', 'Pickup', 'Run Away']",no,normal
Herdier,"['Intimidate', 'Sand Rush', 'Scrappy']",no,normal
Stoutland,"['Intimidate', 'Sand Rush', 'Scrappy']",no,normal
Purrloin,"['Limber', 'Unburden', 'Prankster']",no,dark
Liepard,"['Limber', 'Unburden', 'Prankster']",no,dark
Pansage,"['Gluttony', 'Overgrow']",no,grass
Simisage,"['Gluttony', 'Overgrow']",no,grass
Pansear,"['Gluttony', 'Blaze']",no,fire
Simisear,"['Gluttony', 'Blaze']",no,fire
Panpour,"['Gluttony', 'Torrent']",no,water
Simipour,"['Gluttony', 'Torrent']",no,water
Munna,"['Forewarn', 'Synchronize', 'Telepathy']",no,psychic
Musharna,"['Forewarn', 'Synchronize', 'Telepathy']",no,psychic
Pidove,"['Big Pecks', 'Super Luck', 'Rivalry']",no,normal
Tranquill,"['Big Pecks', 'Super Luck', 'Rivalry']",no,normal
Unfezant,"['Big Pecks', 'Super Luck', 'Rivalry']",no,normal
Blitzle,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",no,electric
Zebstrika,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",no,electric
Roggenrola,"['Sturdy', 'Weak Armor', 'Sand Force']",no,rock
Boldore,"['Sturdy', 'Weak Armor', 'Sand Force']",no,rock
Gigalith,"['Sturdy', 'Sand Stream', 'Sand Force']",no,rock
Woobat,"['Unaware', 'Klutz', 'Simple']",no,psychic
Swoobat,"['Unaware', 'Klutz', 'Simple']",no,psychic
Drilbur,"['Sand Rush', 'Sand Force', 'Mold Breaker']",no,ground
Excadrill,"['Sand Rush', 'Sand Force', 'Mold Breaker']",no,ground
Audino,"['Healer', 'Regenerator', 'Klutz']",no,normal
Timburr,"['Guts', 'Sheer Force', 'Iron Fist']",no,fighting
Gurdurr,"['Guts', 'Sheer Force', 'Iron Fist']",no,fighting
Conkeldurr,"['Guts', 'Sheer Force', 'Iron Fist']",no,fighting
Tympole,"['Swift Swim', 'Hydration', 'Water Absorb']",no,water
Palpitoad,"['Swift Swim', 'Hydration', 'Water Absorb']",no,water
Seismitoad,"['Swift Swim', 'Poison Touch', 'Water Absorb']",no,water
Throh,"['Guts', 'Inner Focus', 'Mold Breaker']",no,fighting
Sawk,"['Sturdy', 'Inner Focus', 'Mold Breaker']",no,fighting
Sewaddle,"['Swarm', 'Chlorophyll', 'Overcoat']",no,bug
Swadloon,"['Leaf Guard', 'Chlorophyll', 'Overcoat']",no,bug
Leavanny,"['Swarm', 'Chlorophyll', 'Overcoat']",no,bug
Venipede,"['Poison Point', 'Swarm', 'Speed Boost']",no,bug
Whirlipede,"['Poison Point', 'Swarm', 'Speed Boost']",no,bug
Scolipede,"['Poison Point', 'Swarm', 'Speed Boost']",no,bug
Cottonee,"['Prankster', 'Infiltrator', 'Chlorophyll']",no,grass
Whimsicott,"['Prankster', 'Infiltrator', 'Chlorophyll']",no,grass
Petilil,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",no,grass
Lilligant,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",no,grass
Basculin,"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",no,water
Sandile,"['Intimidate', 'Moxie', 'Anger Point']",no,ground
Krokorok,"['Intimidate', 'Moxie', 'Anger Point']",no,ground
Krookodile,"['Intimidate', 'Moxie', 'Anger Point']",no,ground
Darumaka,"['Hustle', 'Inner Focus']",no,fire
Darmanitan,"['Sheer Force', 'Zen Mode']",no,fire
Maractus,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",no,grass
Dwebble,"['Sturdy', 'Shell Armor', 'Weak Armor']",no,bug
Crustle,"['Sturdy', 'Shell Armor', 'Weak Armor']",no,bug
Scraggy,"['Shed Skin', 'Moxie', 'Intimidate']",no,dark
Scrafty,"['Shed Skin', 'Moxie', 'Intimidate']",no,dark
Sigilyph,"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']",no,psychic
Yamask,['Mummy'],no,ghost
Cofagrigus,['Mummy'],no,ghost
Tirtouga,"['Solid Rock', 'Sturdy', 'Swift Swim']",no,water
Carracosta,"['Solid Rock', 'Sturdy', 'Swift Swim']",no,water
Archen,['Defeatist'],no,rock
Archeops,['Defeatist'],no,rock
Trubbish,"['Stench', 'Sticky Hold', 'Aftermath']",no,poison
Garbodor,"['Stench', 'Weak Armor', 'Aftermath']",no,poison
Zorua,['Illusion'],no,dark
Zoroark,['Illusion'],no,dark
Minccino,"['Cute Charm', 'Technician', 'Skill Link']",no,normal
Cinccino,"['Cute Charm', 'Technician', 'Skill Link']",no,normal
Gothita,"['Frisk', 'Competitive', 'Shadow Tag']",no,psychic
Gothorita,"['Frisk', 'Competitive', 'Shadow Tag']",no,psychic
Gothitelle,"['Frisk', 'Competitive', 'Shadow Tag']",no,psychic
Solosis,"['Overcoat', 'Magic Guard', 'Regenerator']",no,psychic
Duosion,"['Overcoat', 'Magic Guard', 'Regenerator']",no,psychic
Reuniclus,"['Overcoat', 'Magic Guard', 'Regenerator']",no,psychic
Ducklett,"['Keen Eye', 'Big Pecks', 'Hydration']",no,water
Swanna,"['Keen Eye', 'Big Pecks', 'Hydration']",no,water
Vanillite,"['Ice Body', 'Snow Cloak', 'Weak Armor']",no,ice
Vanillish,"['Ice Body', 'Snow Cloak', 'Weak Armor']",no,ice
Vanilluxe,"['Ice Body', 'Snow Warning', 'Weak Armor']",no,ice
Deerling,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",no,normal
Sawsbuck,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",no,normal
Emolga,"['Static', 'Motor Drive']",no,electric
Karrablast,"['Swarm', 'Shed Skin', 'No Guard']",no,bug
Escavalier,"['Swarm', 'Shell Armor', 'Overcoat']",no,bug
Foongus,"['Effect Spore', 'Regenerator']",no,grass
Amoonguss,"['Effect Spore', 'Regenerator']",no,grass
Frillish,"['Water Absorb', 'Cursed Body', 'Damp']",no,water
Jellicent,"['Water Absorb', 'Cursed Body', 'Damp']",no,water
Alomomola,"['Healer', 'Hydration', 'Regenerator']",no,water
Joltik,"['Compoundeyes', 'Unnerve', 'Swarm']",no,bug
Galvantula,"['Compoundeyes', 'Unnerve', 'Swarm']",no,bug
Ferroseed,['Iron Barbs'],no,grass
Ferrothorn,"['Iron Barbs', 'Anticipation']",no,grass
Klink,"['Plus', 'Minus', 'Clear Body']",no,steel
Klang,"['Plus', 'Minus', 'Clear Body']",no,steel
Klinklang,"['Plus', 'Minus', 'Clear Body']",no,steel
Tynamo,['Levitate'],no,electric
Eelektrik,['Levitate'],no,electric
Eelektross,['Levitate'],no,electric
Elgyem,"['Telepathy', 'Synchronize', 'Analytic']",no,psychic
Beheeyem,"['Telepathy', 'Synchronize', 'Analytic']",no,psychic
Litwick,"['Flash Fire', 'Flame Body', 'Infiltrator']",no,ghost
Lampent,"['Flash Fire', 'Flame Body', 'Infiltrator']",no,ghost
Chandelure,"['Flash Fire', 'Flame Body', 'Infiltrator']",no,ghost
Axew,"['Rivalry', 'Mold Breaker', 'Unnerve']",no,dragon
Fraxure,"['Rivalry', 'Mold Breaker', 'Unnerve']",no,dragon
Haxorus,"['Rivalry', 'Mold Breaker', 'Unnerve']",no,dragon
Cubchoo,"['Snow Cloak', 'Slush Rush', 'Rattled']",no,ice
Beartic,"['Snow Cloak', 'Slush Rush', 'Swift Swim']",no,ice
Cryogonal,['Levitate'],no,ice
Shelmet,"['Hydration', 'Shell Armor', 'Overcoat']",no,bug
Accelgor,"['Hydration', 'Sticky Hold', 'Unburden']",no,bug
Stunfisk,"['Static', 'Limber', 'Sand Veil']",no,ground
Mienfoo,"['Inner Focus', 'Regenerator', 'Reckless']",no,fighting
Mienshao,"['Inner Focus', 'Regenerator', 'Reckless']",no,fighting
Druddigon,"['Rough Skin', 'Sheer Force', 'Mold Breaker']",no,dragon
Golett,"['Iron Fist', 'Klutz', 'No Guard']",no,ground
Golurk,"['Iron Fist', 'Klutz', 'No Guard']",no,ground
Pawniard,"['Defiant', 'Inner Focus', 'Pressure']",no,dark
Bisharp,"['Defiant', 'Inner Focus', 'Pressure']",no,dark
Bouffalant,"['Reckless', 'Sap Sipper', 'Soundproof']",no,normal
Rufflet,"['Keen Eye', 'Sheer Force', 'Hustle']",no,normal
Braviary,"['Keen Eye', 'Sheer Force', 'Defiant']",no,normal
Vullaby,"['Big Pecks', 'Overcoat', 'Weak Armor']",no,dark
Mandibuzz,"['Big Pecks', 'Overcoat', 'Weak Armor']",no,dark
Heatmor,"['Gluttony', 'Flash Fire', 'White Smoke']",no,fire
Durant,"['Swarm', 'Hustle', 'Truant']",no,bug
Deino,['Hustle'],no,dark
Zweilous,['Hustle'],no,dark
Hydreigon,['Levitate'],no,dark
Larvesta,"['Flame Body', 'Swarm']",no,bug
Volcarona,"['Flame Body', 'Swarm']",no,bug
Cobalion,['Justified'],yes,steel
Terrakion,['Justified'],yes,rock
Virizion,['Justified'],yes,grass
Tornadus,"['Prankster', 'Defiant', 'Regenerator']",yes,flying
Thundurus,"['Prankster', 'Defiant', 'Volt Absorb']",yes,electric
Reshiram,['Turboblaze'],yes,dragon
Zekrom,['Teravolt'],yes,dragon
Landorus,"['Sand Force', 'Sheer Force', 'Intimidate']",yes,ground
Kyurem,"['Pressure', 'Teravolt', 'Turboblaze']",yes,dragon
Keldeo,['Justified'],yes,water
Meloetta,['Serene Grace'],yes,normal
Genesect,['Download'],yes,bug
Chespin,"['Overgrow', 'Bulletproof']",no,grass
Quilladin,"['Overgrow', 'Bulletproof']",no,grass
Chesnaught,"['Overgrow', 'Bulletproof']",no,grass
Fennekin,"['Blaze', 'Magician']",no,fire
Braixen,"['Blaze', 'Magician']",no,fire
Delphox,"['Blaze', 'Magician']",no,fire
Froakie,"['Torrent', 'Protean']",no,water
Frogadier,"['Torrent', 'Protean']",no,water
Greninja,"['Torrent', 'Protean', 'Battle Bond']",no,water
Bunnelby,"['Pickup', 'Cheek Pouch', 'Huge Power']",no,normal
Diggersby,"['Pickup', 'Cheek Pouch', 'Huge Power']",no,normal
Fletchling,"['Big Pecks', 'Gale Wings']",no,normal
Fletchinder,"['Flame Body', 'Gale Wings']",no,fire
Talonflame,"['Flame Body', 'Gale Wings']",no,fire
Scatterbug,"['Shield Dust', 'Compoundeyes', 'Friend Guard']",no,bug
Spewpa,"['Shed Skin', 'Friend Guard']",no,bug
Vivillon,"['Shield Dust', 'Compoundeyes', 'Friend Guard']",no,bug
Litleo,"['Rivalry', 'Unnerve', 'Moxie']",no,fire
Pyroar,"['Rivalry', 'Unnerve', 'Moxie']",no,fire
Flabébé,"['Flower Veil', 'Symbiosis']",no,fairy
Floette,"['Flower Veil', 'Symbiosis']",no,fairy
Florges,"['Flower Veil', 'Symbiosis']",no,fairy
Skiddo,"['Sap Sipper', 'Grass Pelt']",no,grass
Gogoat,"['Sap Sipper', 'Grass Pelt']",no,grass
Pancham,"['Iron Fist', 'Mold Breaker', 'Scrappy']",no,fighting
Pangoro,"['Iron Fist', 'Mold Breaker', 'Scrappy']",no,fighting
Furfrou,['Fur Coat'],no,normal
Espurr,"['Keen Eye', 'Infiltrator', 'Own Tempo']",no,psychic
Meowstic,"['Keen Eye', 'Infiltrator', 'Prankster', 'Competitive']",no,psychic
Honedge,['No Guard'],no,steel
Doublade,['No Guard'],no,steel
Aegislash,['Stance Change'],no,steel
Spritzee,"['Healer', 'Aroma Veil']",no,fairy
Aromatisse,"['Healer', 'Aroma Veil']",no,fairy
Swirlix,"['Sweet Veil', 'Unburden']",no,fairy
Slurpuff,"['Sweet Veil', 'Unburden']",no,fairy
Inkay,"['Contrary', 'Suction Cups', 'Infiltrator']",no,dark
Malamar,"['Contrary', 'Suction Cups', 'Infiltrator']",no,dark
Binacle,"['Tough Claws', 'Sniper', 'Pickpocket']",no,rock
Barbaracle,"['Tough Claws', 'Sniper', 'Pickpocket']",no,rock
Skrelp,"['Poison Point', 'Poison Touch', 'Adaptability']",no,poison
Dragalge,"['Poison Point', 'Poison Touch', 'Adaptability']",no,poison
Clauncher,['Mega Launcher'],no,water
Clawitzer,['Mega Launcher'],no,water
Helioptile,"['Dry Skin', 'Sand Veil', 'Solar Power']",no,electric
Heliolisk,"['Dry Skin', 'Sand Veil', 'Solar Power']",no,electric
Tyrunt,"['Strong Jaw', 'Sturdy']",no,rock
Tyrantrum,"['Strong Jaw', 'Rock Head']",no,rock
Amaura,"['Refrigerate', 'Snow Warning']",no,rock
Aurorus,"['Refrigerate', 'Snow Warning']",no,rock
Sylveon,"['Cute Charm', 'Pixilate']",no,fairy
Hawlucha,"['Limber', 'Unburden', 'Mold Breaker']",no,fighting
Dedenne,"['Cheek Pouch', 'Pickup', 'Plus']",no,electric
Carbink,"['Clear Body', 'Sturdy']",no,rock
Goomy,"['Sap Sipper', 'Hydration', 'Gooey']",no,dragon
Sliggoo,"['Sap Sipper', 'Hydration', 'Gooey']",no,dragon
Goodra,"['Sap Sipper', 'Hydration', 'Gooey']",no,dragon
Klefki,"['Prankster', 'Magician']",no,steel
Phantump,"['Natural Cure', 'Frisk', 'Harvest']",no,ghost
Trevenant,"['Natural Cure', 'Frisk', 'Harvest']",no,ghost
Pumpkaboo,"['Pickup', 'Frisk', 'Insomnia']",no,ghost
Gourgeist,"['Pickup', 'Frisk', 'Insomnia']",no,ghost
Bergmite,"['Own Tempo', 'Ice Body', 'Sturdy']",no,ice
Avalugg,"['Own Tempo', 'Ice Body', 'Sturdy']",no,ice
Noibat,"['Frisk', 'Infiltrator', 'Telepathy']",no,flying
Noivern,"['Frisk', 'Infiltrator', 'Telepathy']",no,flying
Xerneas,['Fairy Aura'],yes,fairy
Yveltal,['Dark Aura'],yes,dark
Zygarde,"['Aura Break', 'Power Construct']",yes,dragon
Diancie,['Clear Body'],yes,rock
Volcanion,['Water Absorb'],yes,fire
Rowlet,"['Overgrow', 'Long Reach']",no,grass
Dartrix,"['Overgrow', 'Long Reach']",no,grass
Decidueye,"['Overgrow', 'Long Reach']",no,grass
Litten,"['Blaze', 'Intimidate']",no,fire
Torracat,"['Blaze', 'Intimidate']",no,fire
Incineroar,"['Blaze', 'Intimidate']",no,fire
Popplio,"['Torrent', 'Liquid Voice']",no,water
Brionne,"['Torrent', 'Liquid Voice']",no,water
Primarina,"['Torrent', 'Liquid Voice']",no,water
Pikipek,"['Keen Eye', 'Skill Link', 'Pickup']",no,normal
Trumbeak,"['Keen Eye', 'Skill Link', 'Pickup']",no,normal
Toucannon,"['Keen Eye', 'Skill Link', 'Sheer Force']",no,normal
Yungoos,"['Stakeout', 'Strong Jaw', 'Adaptability']",no,normal
Gumshoos,"['Stakeout', 'Strong Jaw', 'Adaptability']",no,normal
Grubbin,['Swarm'],no,bug
Charjabug,['Battery'],no,bug
Vikavolt,['Levitate'],no,bug
Crabrawler,"['Hyper Cutter', 'Iron Fist', 'Anger Point']",no,fighting
Crabominable,"['Hyper Cutter', 'Iron Fist', 'Anger Point']",no,fighting
Oricorio,['Dancer'],no,fire
Cutiefly,"['Honey Gather', 'Shield Dust', 'Sweet Veil']",no,bug
Ribombee,"['Honey Gather', 'Shield Dust', 'Sweet Veil']",no,bug
Rockruff,"['Keen Eye', 'Vital Spirit', 'Steadfast']",no,rock
Wishiwashi,['Schooling'],no,water
Mareanie,"['Merciless', 'Limber', 'Regenerator']",no,poison
Toxapex,"['Merciless', 'Limber', 'Regenerator']",no,poison
Mudbray,"['Own Tempo', 'Stamina', 'Inner Focus']",no,ground
Mudsdale,"['Own Tempo', 'Stamina', 'Inner Focus']",no,ground
Dewpider,"['Water Bubble', 'Water Absorb']",no,water
Araquanid,"['Water Bubble', 'Water Absorb']",no,water
Fomantis,"['Leaf Guard', 'Contrary']",no,grass
Lurantis,"['Leaf Guard', 'Contrary']",no,grass
Morelull,"['Illuminate', 'Effect Spore', 'Rain Dish']",no,grass
Shiinotic,"['Illuminate', 'Effect Spore', 'Rain Dish']",no,grass
Salandit,"['Corrosion', 'Oblivious']",no,poison
Salazzle,"['Corrosion', 'Oblivious']",no,poison
Stufful,"['Fluffy', 'Klutz', 'Cute Charm']",no,normal
Bewear,"['Fluffy', 'Klutz', 'Unnerve']",no,normal
Bounsweet,"['Leaf Guard', 'Oblivious', 'Sweet Veil']",no,grass
Steenee,"['Leaf Guard', 'Oblivious', 'Sweet Veil']",no,grass
Tsareena,"['Leaf Guard', 'Queenly Majesty', 'Sweet Veil']",no,grass
Comfey,"['Flower Veil', 'Triage', 'Natural Cure']",no,fairy
Oranguru,"['Inner Focus', 'Telepathy', 'Symbiosis']",no,normal
Passimian,"['Receiver', 'Defiant']",no,fighting
Wimpod,['Wimp Out'],no,bug
Golisopod,['Emergency Exit'],no,bug
Sandygast,"['Water Compaction', 'Sand Veil']",no,ghost
Palossand,"['Water Compaction', 'Sand Veil']",no,ghost
Pyukumuku,"['Innards Out', 'Unaware']",no,water
Type: Null,['Battle Armor'],no,normal
Silvally,['RKS System'],no,normal
Minior,['Shields Down'],no,rock
Komala,['Comatose'],no,normal
Turtonator,['Shell Armor'],no,fire
Togedemaru,"['Iron Barbs', 'Lightningrod', 'Sturdy']",no,electric
Mimikyu,['Disguise'],no,ghost
Bruxish,"['Dazzling', 'Strong Jaw', 'Wonder Skin ']",no,water
Drampa,"['Berserk', 'Sap Sipper', 'Cloud Nine']",no,normal
Dhelmise,['Steelworker'],no,ghost
Jangmo-o,"['Bulletproof', 'Soundproof', 'Overcoat']",no,dragon
Hakamo-o,"['Bulletproof', 'Soundproof', 'Overcoat']",no,dragon
Kommo-o,"['Bulletproof', 'Soundproof', 'Overcoat']",no,dragon
Tapu Koko,"['Electric Surge', 'Telepathy']",yes,electric
Tapu Lele,"['Psychic Surge', 'Telepathy']",yes,psychic
Tapu Bulu,"['Grassy Surge', 'Telepathy']",yes,grass
Tapu Fini,"['Misty Surge', 'Telepathy']",yes,water
Cosmog,['Unaware'],yes,psychic
Cosmoem,['Sturdy'],yes,psychic
Solgaleo,['Full Metal Body'],yes,psychic
Lunala,['Shadow Shield'],yes,psychic
Nihilego,['Beast Boost'],yes,rock
Buzzwole,['Beast Boost'],yes,bug
Pheromosa,['Beast Boost'],yes,bug
Xurkitree,['Beast Boost'],yes,electric
Celesteela,['Beast Boost'],yes,steel
Kartana,['Beast Boost'],yes,grass
Guzzlord,['Beast Boost'],yes,dark
Necrozma,['Prism Armor'],yes,psychic
Magearna,['Soul-Heart'],yes,steel
